Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E,Choice F
A ball is moved from Earth to a planet that has a gravitational acceleration that is double that of Earth. How does the gravitational force on the ball when it is on the new planet compare to the gravitational force on the ball when it is on Earth?,The gravitational force on the ball when it is on the new planet is double the force on the ball when it is on Earth.,The gravitational force on the ball when it is on the new planet is half the force on the ball when it is on Earth.,The gravitational force on the ball when it is on the new planet is the same as the force on the ball when it is on Earth.,The gravitational force on the ball when it is on the new planet is one-fourth the force on the ball when it is on Earth.,A,"Gravitational force is given by F = m·g. If the new planet has double the gravitational acceleration, then F = m·(2g) = 2·m·g. So, the force is doubled compared to Earth.",,
"In one experiment, a student rolls a 2 kg ball such that it collides with a wall with a force of 10,000 N. In a second experiment, the student rolls a 5 kg ball such that it collides with the wall at a force of 5000 N. In both experiments, the balls bounce back from the wall and eventually come to rest. Which of the following statements is true regarding the force that the wall exerts on each ball?",The wall exerts the same force on both balls since they both bounce back from the same wall in both experiments.,The wall exerts a greater force on the 5 kg ball than on the 2 kg ball since a greater force is required to cause the heavier ball to bounce back from the wall.,The wall exerts a greater force on the 2 kg ball than on the 5 kg ball since the force from the wall on each ball is equal to the force that each ball exerts on the wall.,The answer cannot be determined without knowing the distance each ball rolls before coming to rest.,C,"By Newton’s third law, the force exerted by the wall on each ball is equal in magnitude and opposite in direction to the force each ball exerts on the wall. Since the 2 kg ball hits with more force, the wall exerts more force back on it.",,
"On Earth, when a box slides across a horizontal board, the board exerts a frictional force of magnitude F₀ on the box. The board and the box are moved to a planet with twice the radius but one-third the mass of Earth. When the box slides across the board, the frictional force exerted by the board on the box is now",¹⁄₁₂·F₀,¹⁄₆·F₀,²⁄₃·F₀,F₀,A,"Gravitational acceleration on a planet is g = G·M⁄R². The new planet has M = ⅓·Mₑ and R = 2·Rₑ, so g = G·(⅓·Mₑ)/(4·Rₑ²) = (⅓⁄4)·gₑ = ¹⁄₁₂·gₑ. Since friction is proportional to the normal force, which is proportional to g, the new friction force is ¹⁄₁₂·F₀.",,
"A cart with an unknown mass is at rest on one side of a track. A student must find the mass of the cart by using Newton’s second law. The student attaches a force probe to the cart and pulls it while keeping the force constant. A motion detector rests on the opposite end of the track to record the acceleration of the cart as it is pulled. The student uses the measured force and acceleration values and determines that the cart’s mass is 0.4 kg. When placed on a balance, the cart’s mass is found to be 0.5 kg. Which of the following could explain the difference in mass?",The track was not level and was tilted slightly downward.,The student did not pull the cart with a force parallel to the track.,The wheels contain bearings that were rough and caused a significant amount of friction.,The motion sensor setting was incorrect. The student set it up so that motion away from the sensor would be the negative direction.,A,"A tilted track would result in an additional component of gravitational force aiding the motion, causing the calculated acceleration to be larger than it should be for the applied force, and thus underestimating the mass using F = m·a.",,
"Three cars are at rest on a 50 meter long bridge. Car A, with mass 1,000 kg, is 5 meters from the left end of the bridge; Car B, with mass 500 kg, is 20 meters from the left end of the bridge; and Car C, with mass 2,000 kg, is 45 meters from the left end of the bridge. How far from the left end of the bridge is the center of mass of the three-car system located?",20 meters,23 meters,25 meters,30 meters,D,The center of mass is found using x_cm = (m₁·x₁ + m₂·x₂ + m₃·x₃)/(m₁ + m₂ + m₃) = (1000·5 + 500·20 + 2000·45)/(1000 + 500 + 2000) = (5000 + 10000 + 90000)/3500 = 105000/3500 = 30 meters.,,
A moon of mass 1 × 10²⁰ kg is in a circular orbit around a planet. The planet exerts a gravitational force of 2 × 10²¹ N on the moon. The centripetal acceleration of the moon is most nearly,0.05 m⁄s²,10 m⁄s²,20 m⁄s²,2 × 10⁴¹ m⁄s²,C,Use Newton’s second law: F = m·a. Solving for a gives a = F⁄m = (2 × 10²¹ N)/(1 × 10²⁰ kg) = 20 m⁄s².,,
A satellite orbits Earth 200 km above the surface. What is its gravitational acceleration?,39 m/s²,Between 39 and 9.8 m/s²,9.8 m/s²,Less than 9.8 m/s² but greater than zero,D,"Gravity decreases with altitude. At 200 km, the satellite is still under Earth's gravitational influence, so g is less than 9.8 but definitely not zero.",Zero,
"A 50.0 N box is at rest. μₛ = 0.50, μₖ = 0.30. A 20.0 N force is applied. What is the box’s acceleration?",0 m/s²,0.5 m/s²,1.0 m/s²,4.0 m/s²,A,Max static friction = 0.50·50 N = 25 N. Applied force = 20 N < 25 N → box doesn't move → acceleration is zero.,,
An object moves in a circle at constant speed on a string. What is true about its motion?,The object is accelerating as it moves.,Its velocity is the same as its speed.,It does not require a force to stay in circular motion.,"If the string breaks, it will continue in a circle.",A,"Even at constant speed, the direction of the velocity is changing. Therefore, the object experiences a centripetal acceleration inward.","If the string breaks, it moves radially outward.",
"A pilot drops a package from a plane flying horizontally at constant speed. Neglecting air resistance, when the package hits the ground the horizontal location of the plane will",be behind the package.,be directly over the package.,be in front of the package.,depends on the speed of the plane when the package was released.,B,"The horizontal velocity of the package is the same as the plane's when dropped, and remains constant (no air resistance). So both package and plane travel equal horizontal distances, meaning the plane is directly above the package when it lands.",,
"After a cannonball is fired in frictionless space, the amount of force needed to keep it going equals ________",¼ the force with which it was fired,the same amount of force with which it was fired,2× the force with which it was fired,"zero, since no force is necessary to keep it moving",D,"Newton’s first law states that an object in motion will remain in motion at constant velocity unless acted upon by a net force, so in frictionless space no force is required to keep it moving.",½ the force with which it was fired,
"A sled slides down a hill, reaches the level surface and eventually comes to a stop. The fact that it comes to stop is best explained by:",The presence of inertia causes it to stop,The natural tendency of any object is to ultimately stop,An unbalanced force would be required to keep the sled moving forward at a constant speed,The presence of an unbalanced force can cause a moving object to stop,D,"According to Newton’s first law, an object in motion stays in motion unless acted on by a net force. The sled stops due to an unbalanced force such as friction acting against its motion.",,
"A horizontal, uniform board of weight 125 N and length 4 m is supported by vertical chains at each end. A person weighing 500 N is hanging from the board. The tension in the right chain is 250 N. What is the tension in the left chain?",125 N,250 N,375 N,625 N,C,"The total weight supported is 125 N + 500 N = 625 N. If the right chain supports 250 N, the left must support 625 N − 250 N = 375 N to maintain vertical force balance (ΣFᵧ = 0).",,
"A block of mass m is hanging in equilibrium from a spring. The block stretches the spring to length L. The block is removed and the spring returns to its unstretched length of ¾·L. If a larger block of mass 4m is hung and lowered to equilibrium, what will the new length of the spring be?",7·L⁄4,3·L,15·L⁄4,4·L,C,The stretch from unstretched length to L is L − ¾·L = ¼·L caused by weight mg. A mass 4m causes 4× the stretch: 4×¼·L = L. So total spring length is ¾·L + L = 15·L⁄4.,,
An object of mass 10 kg is released from rest above a planet. A graph of speed vs. time shows a slope of 3.5 m/s². What is the force due to gravity acting on the object?,3.5 N,7 N,35 N,70 N,C,From Newton's 2nd law: F = m·a = 10 kg × 3.5 m/s² = 35 N. The slope of the speed vs. time graph gives the acceleration due to gravity on that planet.,,
"In a lab, a block weighing 80 N is attached to a spring scale and pulled on a horizontal surface with negligible friction. What is the acceleration of the block when the scale reads 32 N?",2.0 m/s²,2.5 m/s²,4.0 m/s²,5.0 m/s²,C,"Weight = 80 N implies mass = 80 N ÷ 9.8 ≈ 8.16 kg. Using F = m·a → a = F/m = 32 N ÷ 8.16 kg ≈ 3.9 m/s², closest to 4.0 m/s².",,
A rock is suspended from a string and accelerates downward. Which one of the following statements concerning the tension in the string is true?,The tension points downward.,The tension is less than the weight of the rock.,The tension is equal to the weight of the rock.,The tension is greater than the weight of the rock.,B,"If the rock is accelerating downward, then the net force must also be downward. Therefore, the upward tension must be less than the downward gravitational force.",,
An elevator carrying a person of mass m is moving upward and slowing down. How does the magnitude F of the force exerted on the person by the elevator floor compare with the magnitude mg of the gravitational force?,F < mg,F = mg,F > mg,"F can be greater than or less than mg, depending on the speed.",A,Slowing down while moving upward means the net acceleration is downward. That means the normal force (F) must be less than the gravitational force (mg) to create a net downward force.,,
"A mass is suspended in an elevator by a spring balance. The elevator moves upward. Readings are Rᵤ (speeding up), R꜀ (constant speed), and R𝒟 (slowing down). Which relationship is correct?",Rᵤ > R꜀,Rᵤ = R𝒟,R꜀ < R𝒟,R꜀ < Rᵤ,A,Speeding up upward means upward acceleration → more tension → Rᵤ > R꜀. Constant speed → no acceleration → R꜀ = weight. Slowing down → net downward acceleration → R𝒟 < R꜀. So Rᵤ > R꜀ > R𝒟.,,
"A 50-kg student stands on a scale in an elevator. At the instant the elevator has a downward acceleration of 1.0 m/s² and an upward velocity of 3.0 m/s, the scale reads approximately",350 N,450 N,500 N,550 N,B,Apparent weight = Normal force = m·(g − a) = 50 kg × (9.8 − 1.0) = 50 × 8.8 = 440 N ≈ 450 N. The velocity doesn’t affect force; acceleration direction does.,,
"A 20.0-kg package is dropped from a tower. At 25 m above ground, its acceleration is 7.0 m/s² downward. What is the force of air resistance on the package?",28 N,60 N,140 N,196 N,B,Net force = m·a = 20 kg × 7 = 140 N (downward). Gravitational force = 20 × 9.8 = 196 N. Air resistance = 196 − 140 = 56 N ≈ 60 N.,340 N,
A person is lowering a bucket into a well with constant speed. The force exerted by the rope on the bucket is,zero N.,equal to the bucket's weight.,greater than the bucket's weight.,"less than the bucket's weight, but not zero N.",B,"Constant speed means zero acceleration, so the net force is zero. Therefore, the upward tension in the rope must equal the downward weight of the bucket.",Cannot be determined without additional information.,
What does the word 'normal' mean in the phrase 'normal force'?,the component of the force exerted by a surface parallel to the surface,the total force exerted by a surface,the component of the force exerted by a surface perpendicular to the surface,the force that is usually exerted by a surface,C,'Normal' means perpendicular in this context. The normal force is the perpendicular component of a surface’s contact force acting on an object.,,
A 1.4 kg block slides across a rough surface and slows down with an acceleration of 1.25 m/s². What is the coefficient of kinetic friction between the block and the surface?,0.13,0.21,0.36,0.48,A,"Using F = m·a, friction force = 1.4 kg × 1.25 m/s² = 1.75 N. Normal force = m·g = 1.4 × 9.8 = 13.72 N. So μ = F₍f₎ / F₍N₎ = 1.75 / 13.72 ≈ 0.13.",,
"A box slides to the right. Ted pushes with force T to the right. Mario pushes with force M to the left (M = ½·T). There's friction f and the box accelerates right. Rank f, M, and T.",f < M < T,M < f < T,M < T < f,f = M < T,B,"Since T is biggest and M is half of T, M < T. The box accelerates right, so net force is rightward. That means friction + M < T. Therefore, M < f < T.",,
A 2500.0 kg car skids to a stop from 14.0 m/s over a distance of 25.0 m. What is the coefficient of kinetic friction between the tires and the wet road?,0.30,0.40,0.45,0.50,B,Use v² = v₀² + 2·a·x with v = 0. Solving: a = −v₀²/(2·x) = −14²/(2·25) = −3.92 m/s². Then μ = |a|/g = 3.92/9.8 ≈ 0.40.,,
"A fireman is sliding down a fire pole. As he grips tighter, friction increases. When the upward friction equals his weight, what happens to him?",The fireman comes to a stop.,The fireman descends with slower and slower speed.,The fireman descends with a smaller but non-zero acceleration.,"The fireman continues to descend, but with constant speed.",D,"If the upward friction force equals his weight, the net force is zero. So he continues moving downward at constant speed (Newton's 1st law).",,
A 5.0 kg sled is pulled at a 60.0° angle with 10.0 N force and moves at constant velocity. What is the coefficient of kinetic friction between sled and ice?,0.10,0.12,0.18,0.20,B,"At constant velocity, friction = horizontal pull = 10·cos(60°) = 5 N. Normal force = mg − 10·sin(60°) = 49 − 8.66 = 40.34 N. μ = 5 / 40.34 ≈ 0.12.",1.0,
You push down on a 60 kg trunk at a 25° angle below the horizontal with 750 N. The surface is flat with μₖ = 0.61. What is the trunk's acceleration?,1.2 m/s²,1.7 m/s²,2.4 m/s²,3.1 m/s²,C,Fₓ = 750·cos(25°) ≈ 679.8 N. Normal force = mg + 750·sin(25°) ≈ 588 + 317.6 = 905.6 N. Friction = μₖ·N = 0.61·905.6 ≈ 552.4 N. Net force = 679.8 − 552.4 = 127.4 N. a = Fₙₑₜ/m = 127.4 / 60 ≈ 2.4 m/s².,,
"A horse pulls a cart. Which of the following pairs form an action-reaction pair by Newton’s third law?
(1) horse pulls on cart
(2) cart pulls on horse
(3) horse pushes on road
(4) road pushes on horse",1 and 4,1 and 3,2 and 4,3 and 4,D,Newton’s third law pairs are equal and opposite forces between two objects. (3) and (4) form such a pair: the horse pushes backward on the road and the road pushes forward on the horse.,,
A 4.0 kg cube A and 6.0 kg cube B hang from a frictionless Atwood’s machine. What are the tensions in the string (Tₐ and Tᵦ) between the pulley and each cube?,Tₐ = 48 N ; Tᵦ = 71 N,Tₐ = 48 N ; Tᵦ = 48 N,Tₐ = 48 N ; Tᵦ = 42 N,Tₐ = 39 N ; Tᵦ = 39 N,B,"In a massless string with a frictionless pulley, tension is the same throughout. Use a = (m₂ − m₁)g / (m₁ + m₂) = (6 − 4)·9.8 / (10) = 1.96 m/s². Then T = m₁(g + a) = 4·(9.8 + 1.96) = 48 N.",,
A block of mass m sits at rest on a rough inclined ramp at angle θ. What must be true about the normal force F on the block due to the ramp?,F > mg,F > mg·cosθ,F > mg·sinθ,F = mg·cosθ,D,"Normal force on an inclined plane is always F = mg·cosθ since it balances only the perpendicular component of weight, not the full weight.",,
A 3m block slides on a frictionless table and is attached to an m block hanging over a pulley. What is the acceleration of the descending block?,g⁄4,g⁄3,2·g⁄3,g,A,Net force on system = m·g. Total mass = 4m. So a = F/m = m·g / 4m = g⁄4.,,
A block of mass m is accelerated by a force F at angle φ. Frictional force is f. What is the acceleration of the block?,F⁄m,(F·cosφ)⁄m,(F − f)⁄m,(F·cosφ − f)⁄m,D,Only the horizontal component F·cosφ accelerates the block. Net force = F·cosφ − f. So a = Fₙₑₜ / m = (F·cosφ − f)⁄m.,,
A crate sits on a sleigh accelerating uphill. The crate isn’t fastened down. What force causes the crate to speed up with the sleigh?,the contact force (normal force) of the ground on the sleigh,the force of static friction of the sleigh on the crate,the gravitational force acting on the sleigh,no force is needed,B,"The crate isn’t attached, so the sleigh must push it via static friction to accelerate it uphill. That frictional force is the only horizontal force acting on the crate.",,
A student predicts a block on a 45° ramp will accelerate at 7 m/s². Measured acceleration is 5.5 m/s². What most likely explains the difference?,The student’s model used to make the prediction did not account for the mass of the block,The student’s model used to make the prediction did not account for all of the forces that are exerted on the block,The student’s experimental procedure did not measure the correct quantities needed to calculate the acceleration,The student’s experimental procedure did not use enough trials to accurately determine the block’s acceleration,B,"A theoretical model without friction predicts higher acceleration. The student likely ignored friction in the model, but it slowed the block in reality.",,
Two blocks of masses m₁ and m₂ are connected by a light string and pulled horizontally with net force F₍ₙₑₜ₎ on a frictionless surface. What is the acceleration a of the system?,a = F₍ₙₑₜ₎ ⁄ m₁,a = F₍ₙₑₜ₎ ⁄ m₂,a = F₍ₙₑₜ₎ ⁄ (m₁ + m₂),a = (m₁ + m₂) ⁄ F₍ₙₑₜ₎,C,Apply Newton’s 2nd Law to the full system: F = (m₁ + m₂)·a → a = F₍ₙₑₜ₎ ⁄ (m₁ + m₂).,,
"Block A of mass m₁ rests on a table. Block B of mass m₂ hangs off the edge, connected by a light string over a pulley. What is the tension T in the string if the system accelerates?",T = m₂·g,T = m₁·g,T = (m₁·m₂·g) ⁄ (m₁ + m₂),T = (m₁ + m₂)·g,C,"a = (m₂·g) ⁄ (m₁ + m₂), then T = m₁·a → T = (m₁·m₂·g) ⁄ (m₁ + m₂).",,
A block of mass m slides down a rough incline angled at θ at constant speed. What is the coefficient of kinetic friction μₖ?,μₖ = tanθ,μₖ = sinθ ⁄ cosθ,μₖ = sinθ,μₖ = tanθ ⁄ 2,A,m·g·sinθ = μₖ·m·g·cosθ → μₖ = tanθ.,,
"An object of mass m moves in a vertical circle of radius r. At the top, the string tension is zero and the object barely maintains circular motion. What is the minimum speed V₍min₎ at the top?",V₍min₎ = √(g·r),V₍min₎ = g·r,V₍min₎ = √(2·g·r),V₍min₎ = g·r²,A,Set net force = m·g = m·V²⁄r → V = √(g·r).,,
A spring with constant k is compressed a distance x and launches a block of mass m on a frictionless surface. What is the block’s speed V₍f₎ when the spring returns to equilibrium?,V₍f₎ = √(k·x² ⁄ m),V₍f₎ = √(2·k·x ⁄ m),V₍f₎ = √(k ⁄ m)·x,V₍f₎ = k·x ⁄ m,C,½·k·x² = ½·m·V² → V = √(k ⁄ m)·x.,,
Two identical planets of mass M orbit a star of mass Mₛ at distances r and 2r. What is the ratio of gravitational forces F₁ ⁄ F₂?,1 ⁄ 2,1 ⁄ 4,2,4,D,F ∝ 1 ⁄ r² → F₁ ⁄ F₂ = (1 ⁄ r²) ⁄ (1 ⁄ 4r²) = 4.,,
Two particles of mass m₁ and m₂ are located at x₁ and x₂. What is the center of mass x₍cₘ₎ of the system?,x₍cₘ₎ = (x₁ + x₂) ⁄ 2,x₍cₘ₎ = (m₁ + m₂) ⁄ (x₁ + x₂),x₍cₘ₎ = (m₁·x₁ + m₂·x₂) ⁄ (m₁ + m₂),x₍cₘ₎ = (m₁·x₂ + m₂·x₁) ⁄ (m₁ + m₂),C,x₍cₘ₎ = (∑ mᵢ·xᵢ) ⁄ ∑ mᵢ = (m₁·x₁ + m₂·x₂) ⁄ (m₁ + m₂).,,
A block of mass m is held stationary on a frictionless incline of angle θ by a horizontal force F. What must F equal for equilibrium?,F = m·g·cosθ,F = m·g·sinθ,F = m·g·tanθ,F = m·g ⁄ tanθ,C,F·cosθ = m·g·sinθ → F = m·g·tanθ.,,
A mass m is suspended by two ropes at angle θ to the ceiling. What is the tension T in each rope?,T = m·g·cosθ,T = m·g ⁄ (2·cosθ),T = m·g ⁄ (2·sinθ),T = m·g ⁄ (2·cosθ),D,Vertical: 2·T·cosθ = m·g → T = m·g ⁄ (2·cosθ).,,
Two blocks m₁ and m₂ are connected on a horizontal surface with friction μₖ. A force F pulls m₁. What is the tension T between the blocks?,T = μₖ·m₂·g,T = F − μₖ·(m₁ + m₂)·g,T = (m₂ ⁄ (m₁ + m₂))·(F − μₖ·(m₁ + m₂)·g),T = μₖ·m₁·g + μₖ·m₂·g,C,"a = (F − μₖ·(m₁ + m₂)·g) ⁄ (m₁ + m₂), then T = m₂·a + μₖ·m₂·g.",,
A block of mass m is suspended by a string and accelerates upward with constant acceleration a. What is the tension T in the string?,T = m·g,T = m·(g − a),T = m·(g + a),T = m·a,C,Net force: T − m·g = m·a → T = m·(g + a).,,
Block m₁ is on a table with friction μₖ and connected over a pulley to hanging mass m₂. What is the system’s acceleration a?,a = (m₂·g − μₖ·m₁·g) ⁄ (m₁ + m₂),a = (m₁·g − μₖ·m₂·g) ⁄ (m₁ + m₂),a = (m₂·g + μₖ·m₁·g) ⁄ (m₁ + m₂),a = g·(m₁ + m₂) ⁄ (μₖ·m₁),A,Net force: m₂·g − μₖ·m₁·g → a = (m₂·g − μₖ·m₁·g) ⁄ (m₁ + m₂).,,
A block of mass m sits at rest on an incline. Static friction coefficient is μₛ. What is the maximum angle θ₍max₎ before it slides?,tanθ₍max₎ = μₛ,sinθ₍max₎ = μₛ,μₛ = cosθ₍max₎,tanθ₍max₎ = 1 ⁄ μₛ,A,m·g·sinθ = μₛ·m·g·cosθ → tanθ = μₛ,,
A block of mass m is tied to a string and swung in a horizontal circle of radius r at speed V. What is the tension T in the string?,T = m·g,T = m·V² ⁄ r,T = m·r ⁄ V²,T = V² ⁄ (m·r),B,T provides centripetal force: T = m·V² ⁄ r.,,
"A crate is pulled with two horizontal ropes, F₁ to the left and F₂ to the right. The crate remains at rest. What must be true?",F₁ > F₂,F₂ > F₁,F₁ = F₂,F₁ + F₂ = 0.5·m·g,C,Object at rest → F₁ = F₂ (balanced forces).,,
A mass m hangs from a vertical spring with spring constant k and stretches a distance x. What is x in terms of m and k?,x = k ⁄ m,x = m ⁄ k,x = m·g ⁄ k,x = k ⁄ (m·g),C,At equilibrium: k·x = m·g → x = m·g ⁄ k,,
"Blocks m₁ and m₂ are on a surface with friction μₖ, connected by a rope. A force F pulls m₂. What is the net force on m₁?",F₍ₙₑₜ₎ = m₁·a + μₖ·(m₁ + m₂)·g,F₍ₙₑₜ₎ = m₁·a + μₖ·m₁·g,F₍ₙₑₜ₎ = m₁·a − μₖ·m₂·g,F₍ₙₑₜ₎ = F − μₖ·m₁·g,B,F₍ₙₑₜ₎ = m₁·a + friction = m₁·a + μₖ·m₁·g.,,
A car of mass m rounds a frictionless banked curve of radius r at angle θ. What speed V keeps it on the curve?,V = √(g·r·sinθ),V = √(g·r·cosθ),V = √(r·g·tanθ),V = √(r·g⁄tanθ),C,Banking with no friction: tanθ = V² ⁄ (r·g) → V = √(r·g·tanθ).,,
Block m₁ on an incline is connected to hanging block m₂. What is the acceleration a of the system? (No friction),a = (m₂·g − m₁·g·sinθ) ⁄ (m₁ + m₂),a = (m₁·g − m₂·g·sinθ) ⁄ (m₁ + m₂),a = (m₁·g·sinθ − m₂·g) ⁄ (m₁ − m₂),a = (m₁ + m₂)·g·sinθ,A,"Apply Newton’s 2nd to both masses, eliminate T, solve for a.",,
A person of mass m stands on a scale in an elevator accelerating downward at rate a. What is the normal force Fₙ on the scale?,Fₙ = m·g,Fₙ = m·(g + a),Fₙ = m·(g − a),Fₙ = a ⁄ (m·g),C,Net: m·g − Fₙ = m·a → Fₙ = m·(g − a).,,
"Neglecting air resistance, when you toss a stone straight up from Earth's surface, which of the following is true during its upward motion?",The stone’s kinetic energy decreases while its gravitational potential energy increases.,The stone’s total energy increases.,The stone’s kinetic energy increases while its gravitational potential energy decreases.,The stone’s kinetic and gravitational potential energies increase simultaneously.,A,"As the stone moves upward, gravitational potential energy U₍g₎ = m·g·h increases due to rising height, while kinetic energy K = ½·m·v² decreases as speed slows; total mechanical energy stays constant with no air resistance.",,
A lightweight object and a very heavy object are sliding with equal speeds along a level frictionless surface. They both slide up the same frictionless hill. Which rises to a greater height?,They both slide to the same height.,"The heavy object, because it has greater kinetic energy.","The heavy object, because it weighs more.","The light object, because it has smaller kinetic energy.",A,"Both objects have the same speed, so they have kinetic energy K = ½·m·v² proportional to their mass; when converted to gravitational potential energy U₍g₎ = m·g·h, the mass cancels, so they reach the same height regardless of weight.",,
"In the movie *Frozen*, a net force of 350 N is applied at a 70° angle to move a 40 kg block of ice over 0.5 m from rest. What is the net work done?",59.9,0 J,175 J,350 J,A,Net work done is W = F·d·cos(θ) = 350·0.5·cos(70°) = 175·0.3420 ≈ 59.9 J. Only the horizontal component of force contributes to work.,,
"Luke Atkins (75 kg) jumped from 25,000 ft with no parachute and landed on a net going 65 m/s. The net slowed him down over a distance of 52 m. What was the work done on him?",-158437.5 J,0 J,"243,750 J","126,500 J",A,"Using the work-energy theorem: W = ΔK = ½·m·(v_f² − v_i²) = ½·75·(0² − 65²) = −158,437.5 J. Work is negative because the net removes kinetic energy.",,
Two blocks of masses m₁ and m₂ slide down two frictionless inclines of equal height. Block 1 slides down a 30° ramp and Block 2 slides down a 60° ramp. Which block is moving faster at the bottom?,We must know the actual masses of the blocks to answer.,Block 1 is faster.,Both blocks have the same speed at the bottom.,Block 2 is faster.,C,"Using conservation of energy, m·g·h = ½·m·v² → v = √(2·g·h). Since both start from the same height, both reach the same final speed regardless of incline angle or mass.",,
"A simple pendulum of mass m swings upward along a string of length L, making an angle θ with the vertical. What is the work done by the tension force?",m·g·L,m·g·L·tan(θ),m·g·L·cos(θ),zero.,D,"Tension acts perpendicular to the displacement of the pendulum at all times, so the work done by the tension force is zero.",,
"A car starts from rest and reaches speed v in 5 seconds. The work done is w₁. In the next 5 seconds, the car accelerates to speed 2v. If the work in the second phase is w₂, how does w₁ compare to w₂?",w₁ = w₂.,w₁ = ½·w₂.,w₁ = ⅓·w₂.,w₁ = 2·w₂.,C,Work equals change in kinetic energy. First part: w₁ = ½·m·v². Second part: w₂ = ½·m·(2v)² − ½·m·v² = ½·m·(4v² − v²) = ½·m·3v² = 3·w₁ → w₁ = ⅓·w₂.,w₁ = 4·w₂.,
A student shoves a 0.50-kg block up a 30.0° frictionless incline with 4.0 J of work. The block slides up and stops. What is the distance s (in cm) the block travels along the incline?,8.0 cm,16 cm,82 cm,160 cm,C,"Using W = m·g·s·sin(θ), solve for s: s = W / (m·g·sin(30°)) = 4.0 / (0.5·9.8·0.5) ≈ 0.82 m = 82 cm.",330 cm,
"A 30 g marble is launched by a spring (k = 50 N/m, compressed 15 cm) and lands 0.75 m below its launch point. What is its horizontal range?",120 cm,150 cm,220 cm,260 cm,C,Spring energy: ½·k·x² = ½·50·(0.15)² = 0.5625 J = ½·m·v² → v ≈ 6.12 m/s. Time to fall 0.75 m is t = √(2·0.75/9.8) ≈ 0.39 s. Range = v·t ≈ 6.12·0.39 ≈ 2.39 m ≈ 239 cm → closest to 220 cm.,330 cm,
"Two masses Mₓ and Mᵧ are connected by a string and dropped from height H, with Mᵧ > Mₓ. The system falls under gravity. What is the total change in kinetic energy of the system from release to ground impact?",Mᵧ·g·H,Mₓ·g·H,(Mᵧ − Mₓ)·g·H,(Mᵧ + Mₓ)·g·H,D,"The entire system falls a height H, and total initial potential energy U = (Mᵧ + Mₓ)·g·H becomes kinetic energy by the time it hits the ground, so ΔK = (Mᵧ + Mₓ)·g·H.",,
A 50 kg athlete running at speed v grabs a rope hanging from a 10 m platform and swings to a height of 1.8 m. A 100 kg athlete runs at the same speed and grabs a similar rope from a 5 m platform. What maximum height does the heavier athlete reach?,0.9 m,1.8 m,2.5 m,3.6 m,B,"Using conservation of energy: ½·m·v² = m·g·h → h = v²/(2·g). Since both athletes have the same speed, the final height is also the same regardless of mass. The 100 kg athlete swings to 1.8 m.",,
A block is raised a height d in three ways: vertically (method 1) and up two frictionless ramps (methods 2 and 3). What is the correct ranking of the work W done on the block?,W₁ = W₂ = W₃,W₁ > W₂ > W₃,W₁ > (W₂ = W₃),W₃ > W₂ > W₁,A,"Work done against gravity depends only on the vertical height gained, not the path. Since all methods raise the block the same height with no friction, W₁ = W₂ = W₃.",,
A student wants to measure the work done by an external force that changes as the object moves a distance D. Which procedure would correctly determine the work done?,Use a spring scale and stopwatch to measure force and time; graph force vs. time.,Use a meterstick and stopwatch to measure position and time; graph position vs. time.,Use a motion detector to measure velocity vs. time; graph velocity vs. time.,Use a spring scale and meterstick to measure force and position; graph force vs. position.,D,Work is the area under a force vs. position graph. Only option D measures force as a function of position and graphs it properly to calculate work.,,
"A student must determine the work done by a spring launching a block. The mass cannot be used, and the spring constant is unknown. Which tools, when used together, allow the student to calculate the spring’s work on the block? Select two answers.",Meter Stick,Motion Detector,Stopwatch,Force Sensor,"A, B","The spring's compression can be measured with a meter stick (gives x), and a motion detector gives velocity (to find kinetic energy). This allows work = ½·m·v² = ½·k·x² without needing the block’s mass or spring constant.",,
A mass m is lifted vertically at constant speed through height h. What is the work done by the lifter?,W = m·a·h,W = ½·m·g·h,W = m·g·h,W = m·v·t,C,"At constant speed, F = m·g → W = F·d = m·g·h.",,
An object of mass m is compressed against a spring (k) by distance x. What is the speed when released on a frictionless surface?,V = √(k / m)·x,V = k·x / m,V = √(2·k·x / m),V = √(k·x² / m),D,½·k·x² = ½·m·V² → V = √(k·x² / m).,,
An object of mass m falls from rest through height h. What is its speed just before hitting the ground?,V = √(g·h),V = √(2·g·h),V = g·h,V = g·t,B,Use conservation of energy: m·g·h = ½·m·V² → V = √(2·g·h).,,
A block of mass m slides distance d under constant force F. What is its final speed?,V = √(F·d / m),V = (F·d) / m,V = m·F·d,V = F / d,A,W = F·d = ½·m·V² → V = √(2·F·d / m).,,
Two identical blocks A and B slide down frictionless ramps of different heights h₁ and h₂. What is the ratio of their speeds at the bottom?,V₁ / V₂ = √(h₂ / h₁),V₁ / V₂ = h₂ / h₁,V₁ / V₂ = √(h₁ / h₂),V₁ / V₂ = h₁ / h₂,C,V = √(2·g·h) → ratio is V₁ / V₂ = √(h₁ / h₂).,,
"An object is pushed with force F across a frictionless surface for time t, starting from rest. What is its final kinetic energy?",KE = F·t,KE = ½·F·t² / m,KE = F²·t² / (2·m),KE = m·F·t²,C,F = m·a → a = F / m. V = a·t = F·t / m. Then KE = ½·m·V² = ½·m·(F·t / m)² = F²·t² / (2·m).,,
