Code,Misconception,Explanation,Misconception Code,Topic Category,Misconception Description
PH251,Velocity and acceleration peak at the same time,"Fails to understand that in SHM, velocity is zero when acceleration is maximum, and vice versa.",,,
PH252,Only mass affects motion in SHM,Ignores that both spring constant or pendulum length (depending on system) influence the period of oscillation.,,,
PH253,Frequency and period are unrelated,"Fails to understand that frequency and period are reciprocals, and changes in one directly affect the other.",,,
PH254,More mass always means higher frequency,"Assumes mass increases frequency, when in fact it increases period and lowers frequency in systems like mass-spring oscillators.",,,
PH255,Amplitude affects frequency in SHM,Incorrectly believes that increasing the swing height (amplitude) affects the timing of oscillation for ideal systems.,,,
PH256,Pendulum frequency depends on mass,"Mistakenly believes that heavier pendulums swing faster or slower, ignoring that period depends on length, not mass.",,,
PH257,Shorter pendulums take longer to swing,"Reverses the relationship between length and period, believing shorter lengths result in longer oscillation times.",,,
PH258,All SHM systems have the same period,Ignores differences in system parameters such as spring constant or length that determine the oscillation period.,,,
PH259,Period and frequency are properties of the object,Treats these as inherent traits of the mass or shape rather than dependent on the system setup and conditions.,,,
PH260,"Displacement, velocity, and acceleration are all in sync","Fails to recognize that in SHM, displacement is maximum when velocity is zero, and acceleration is not synchronized with velocity.",,,
PH261,Velocity is always greatest at the maximum displacement,"Thinks the object moves fastest at the ends, rather than at the equilibrium position where kinetic energy is maximum.",,,
PH262,Acceleration is constant in SHM,"Assumes constant acceleration throughout the motion, ignoring its dependence on displacement (a ∝ –x).",,,
PH263,Graphs of SHM quantities are interchangeable,"Confuses the phase relationships between displacement, velocity, and acceleration graphs in simple harmonic motion.",,,
PH264,All zero values occur at the same time,"Believes displacement, velocity, and acceleration are zero simultaneously, not understanding their sinusoidal relationship.",,,
PH265,SHM graphs are symmetrical around the x-axis,Fails to distinguish between amplitude-based symmetry and offset trends caused by damping or non-ideal behavior.,,,
PH266,Acceleration is highest at equilibrium,Misunderstands that acceleration is zero at equilibrium and greatest at maximum displacement.,,,
PH267,Energy is not conserved in SHM,"Assumes energy is lost during oscillations even in ideal systems, ignoring conservation in undamped SHM.",,,
PH268,Kinetic and potential energy peak at the same time,"Fails to understand that in SHM, KE and PE trade off and are out of phase—one is max when the other is zero.",,,
PH269,Amplitude doesn't affect energy,Does not recognize that total energy in SHM depends on amplitude since potential energy is proportional to amplitude squared.,,,
PH270,Potential energy is zero during motion,"Thinks PE is only present at the endpoints, not realizing it continuously varies during the motion.",,,
PH271,Kinetic energy is constant in SHM,"Mistakes the periodic motion as having constant KE, ignoring that KE oscillates between zero and maximum.",,,
PH272,Total energy depends on mass only,Ignores the influence of both mass and amplitude (and spring constant) on total energy in a harmonic oscillator.,,,
PH273,Energy graphs for SHM are linear,"Draws incorrect energy-time graphs assuming linear change, rather than recognizing sinusoidal variation of KE and PE.",,,
PH274,Density is the same as weight,"Confuses density (mass per unit volume) with weight, which depends on gravitational force.",,,
PH275,Density depends on amount,"Thinks that more of a substance increases its density, rather than recognizing density as an intensive property.",,,
PH276,Objects float if they are lighter,"Believes that absolute weight determines floating, ignoring that density relative to fluid is the key factor.",,,
PH277,Mass and volume are interchangeable,Fails to distinguish between how much matter is in an object and how much space it occupies.,,,
PH278,Air has no density,Assumes gases are 'weightless' or 'massless' despite having measurable density.,,,
PH279,Solids can be compressed like fluids,Ignores that solids have fixed structure and negligible compressibility compared to fluids.,,,
PH280,Ideal fluids have the same behavior as real fluids,"Does not understand that ideal fluids ignore viscosity and compressibility, unlike real-world substances.",,,
PH281,Pressure is the same at all depths,Fails to recognize that pressure increases with depth due to the weight of the fluid above.,,,
PH282,Pressure acts only downward,Does not understand that fluid pressure acts equally in all directions at a point in a fluid.,,,
PH283,Only force affects pressure,Ignores the role of surface area in calculating pressure; doesn't apply the formula P = F/A correctly.,,,
PH284,Air pressure is only present when air is moving,"Thinks that still air doesn't exert pressure, rather than understanding atmospheric pressure exists regardless of motion.",,,
PH285,Liquids exert more pressure than gases due to weight alone,"Overgeneralizes liquid density and weight, without considering compressibility and depth-related variation in gases.",,,
PH286,Objects are crushed by fluid pressure only from above,"Fails to see that fluid pressure surrounds objects and acts in all directions, not just from the top.",,,
PH287,Larger objects exert more pressure,"Confuses force with pressure, neglecting the inverse relationship between pressure and area.",,,
PH288,Buoyant force only exists when objects float,"Thinks buoyant force is present only if an object floats, ignoring that it acts on all submerged or partially submerged objects.",,,
PH289,Buoyant force equals object weight,"Assumes buoyant force always matches the object's weight, not realizing it depends on the displaced fluid's weight.",,,
PH290,Fluids don't exert upward force,"Believes fluids only exert downward pressure, neglecting the net upward force due to pressure differences with depth.",,,
PH291,Heavier objects displace more fluid regardless of volume,"Confuses mass with volume in Archimedes’ principle, ignoring that fluid displacement depends on submerged volume.",,,
PH292,Buoyant force is due to gravity pulling up,"Misunderstands that buoyant force is a result of pressure difference, not upward gravitational attraction.",,,
PH293,Buoyancy applies only in water,"Thinks buoyant force doesn’t apply in other fluids like air, ignoring that the same principles apply to all fluids.",,,
PH294,Buoyant force depends on object's shape,Believes that shape determines buoyant force rather than volume of displaced fluid.,,,
PH295,Fluid flow requires energy input,"Assumes a pump or force is needed at all times for fluid to flow, ignoring that pressure and height differences can drive motion.",,,
PH296,Flow rate increases with narrower pipe,Confuses speed with flow rate; does not understand that flow rate stays constant (continuity equation) while velocity increases.,,,
PH297,Pressure increases in narrower regions,"Misinterprets Bernoulli's principle, believing higher speed corresponds to higher pressure instead of lower pressure.",,,
PH298,Bernoulli’s equation applies everywhere,"Applies Bernoulli’s equation blindly, including across elevations or locations with friction or energy loss, where it’s not valid.",,,
PH299,Torricelli’s theorem needs mass or force,"Thinks calculating exit speed of fluid requires knowledge of mass or force, instead of just height difference.",,,
PH300,Pressure and speed increase together,"Fails to understand that fluid speed increases where pressure drops, not rises, when applying Bernoulli.",,,
PH301,Conservation laws do not apply to fluids,"Thinks mass and energy conservation break down in flowing fluids, ignoring ideal flow assumptions.",,,
